四川组播,#genre#
凤凰中文,http://118.112.148.81:58888/rtp/239.94.2.51:5140
凤凰中文,http://118.112.148.81:58888/rtp/239.94.2.52:5140
凤凰中文,http://61.157.196.13:8888/rtp/239.94.2.51:5140
凤凰中文,http://61.157.196.13:8888/rtp/239.94.2.52:5140
凤凰资讯,http://118.112.148.81:58888/rtp/239.94.2.49:5140
凤凰资讯,http://118.112.148.81:58888/rtp/239.94.2.50:5140
凤凰资讯,http://61.157.196.13:8888/rtp/239.94.2.49:5140
凤凰资讯,http://61.157.196.13:8888/rtp/239.94.2.50:5140
北京纪实科教,http://118.112.148.81:58888/rtp/239.94.0.109:5140
北京纪实科教,http://61.157.196.13:8888/rtp/239.94.0.109:5140
东方财经,http://118.112.148.81:58888/rtp/239.94.1.59:5140
东方财经,http://61.157.196.13:8888/rtp/239.94.1.59:5140
都市剧场,http://118.112.148.81:58888/rtp/239.94.1.133:5140
都市剧场,http://61.157.196.13:8888/rtp/239.94.1.133:5140
四川文化旅游,http://118.112.148.81:58888/rtp/239.94.0.71:5140
四川文化旅游,http://118.112.148.81:58888/rtp/239.94.1.11:5140
四川文化旅游,http://118.112.148.81:58888/rtp/239.94.1.5:5140
四川文化旅游,http://118.112.148.81:58888/rtp/239.94.1.6:5140
四川文化旅游,http://61.157.196.13:8888/rtp/239.94.0.71:5140
四川经济,http://118.112.148.81:58888/rtp/239.94.0.70:5140
四川经济,http://61.157.196.13:8888/rtp/239.94.0.70:5140
四川新闻,http://118.112.148.81:58888/rtp/239.94.0.72:5140
四川新闻,http://118.112.148.81:58888/rtp/239.94.1.3:5140
四川新闻,http://118.112.148.81:58888/rtp/239.94.2.26:5140
四川新闻,http://61.157.196.13:8888/rtp/239.94.0.72:5140
四川新闻,http://61.157.196.13:8888/rtp/239.94.1.3:5140
四川影视文艺,http://118.112.148.81:58888/rtp/239.94.0.73:5140
四川影视文艺,http://61.157.196.13:8888/rtp/239.94.0.73:5140
四川星空购物,http://118.112.148.81:58888/rtp/239.94.0.74:5140
四川星空购物,http://61.157.196.13:8888/rtp/239.94.0.74:5140
四川妇女儿童,http://118.112.148.81:58888/rtp/239.94.0.75:5140
四川妇女儿童,http://61.157.196.13:8888/rtp/239.94.0.75:5140
四川科教,http://118.112.148.81:58888/rtp/239.94.0.76:5140
四川科教,http://61.157.196.13:8888/rtp/239.94.0.76:5140
四川乡村,http://118.112.148.81:58888/rtp/239.94.0.77:5140
四川乡村,http://118.112.148.81:58888/rtp/239.94.1.4:5140
四川乡村,http://118.112.148.81:58888/rtp/239.94.1.8:5140
四川乡村,http://61.157.196.13:8888/rtp/239.94.0.77:5140
四川乡村,http://61.157.196.13:8888/rtp/239.94.1.4:5140
峨眉电影,http://118.112.148.81:58888/rtp/239.94.0.103:5140
峨眉电影,http://61.157.196.13:8888/rtp/239.94.0.103:5140
成都综合,http://118.112.148.81:58888/rtp/239.94.0.154:5140
成都综合,http://61.157.196.13:8888/rtp/239.94.0.154:5140
成都经济,http://118.112.148.81:58888/rtp/239.94.0.155:5140
成都经济,http://61.157.196.13:8888/rtp/239.94.0.155:5140
成都都市,http://118.112.148.81:58888/rtp/239.94.0.156:5140
成都都市,http://61.157.196.13:8888/rtp/239.94.0.156:5140
成都影视,http://118.112.148.81:58888/rtp/239.94.0.157:5140
成都影视,http://61.157.196.13:8888/rtp/239.94.0.157:5140
成都公共,http://118.112.148.81:58888/rtp/239.94.0.158:5140
成都公共,http://61.157.196.13:8888/rtp/239.94.0.158:5140
成都少儿,http://118.112.148.81:58888/rtp/239.94.0.159:5140
成都少儿,http://61.157.196.13:8888/rtp/239.94.0.159:5140
成都蓉城先锋,http://118.112.148.81:58888/rtp/239.94.0.160:5140
成都蓉城先锋,http://118.112.148.81:58888/rtp/239.94.1.57:5140
成都蓉城先锋,http://61.157.196.13:8888/rtp/239.94.0.160:5140
成都蓉城先锋,http://61.157.196.13:8888/rtp/239.94.1.57:5140
乐山综合,http://118.112.148.81:58888/rtp/239.94.0.162:5140
乐山综合,http://61.157.196.13:8888/rtp/239.94.0.162:5140
乐山文旅生活,http://118.112.148.81:58888/rtp/239.94.0.173:5140
乐山文旅生活,http://61.157.196.13:8888/rtp/239.94.0.173:5140
自贡综合,http://118.112.148.81:58888/rtp/239.94.0.169:5140
