上海组播,#genre#
深圳卫视,http://118.79.7.85:7000/rtp/226.0.2.147:9088
深圳卫视,http://118.79.7.85:7000/rtp/226.0.2.47:8288
北京卫视,http://171.124.100.84:8084/rtp/226.0.2.177:9328
北京卫视,http://171.124.100.84:8084/rtp/226.0.2.39:8224
北京卫视,http://118.79.7.85:7000/rtp/226.0.2.177:9328
北京卫视,http://118.79.7.85:7000/rtp/226.0.2.39:8224
山东卫视,http://171.124.100.84:8084/rtp/226.0.2.149:9104
山东卫视,http://171.124.100.84:8084/rtp/226.0.2.51:8320
山东卫视,http://118.79.7.85:7000/rtp/226.0.2.149:9104
山东卫视,http://118.79.7.85:7000/rtp/226.0.2.51:8320
天津卫视,http://171.124.100.84:8084/rtp/226.0.2.148:9096
天津卫视,http://171.124.100.84:8084/rtp/226.0.2.56:8360
天津卫视,http://118.79.7.85:7000/rtp/226.0.2.148:9096
天津卫视,http://118.79.7.85:7000/rtp/226.0.2.56:8360
贵州卫视,http://171.124.100.84:8084/rtp/226.0.2.180:9352
贵州卫视,http://171.124.100.84:8084/rtp/226.0.2.43:8256
贵州卫视,http://118.79.7.85:7000/rtp/226.0.2.180:9352
贵州卫视,http://118.79.7.85:7000/rtp/226.0.2.43:8256
四川卫视,http://171.124.100.84:8084/rtp/226.0.2.179:9344
四川卫视,http://171.124.100.84:8084/rtp/226.0.2.42:8248
四川卫视,http://118.79.7.85:7000/rtp/226.0.2.179:9344
四川卫视,http://118.79.7.85:7000/rtp/226.0.2.42:8248
广西卫视,http://171.124.100.84:8084/rtp/226.0.2.231:9760
广西卫视,http://171.124.100.84:8084/rtp/226.0.2.46:8280
广西卫视,http://118.79.7.85:7000/rtp/226.0.2.231:9760
广西卫视,http://118.79.7.85:7000/rtp/226.0.2.46:8280
黑龙江卫视,http://171.124.100.84:8084/rtp/226.0.2.151:9120
黑龙江卫视,http://171.124.100.84:8084/rtp/226.0.2.48:8296
黑龙江卫视,http://118.79.7.85:7000/rtp/226.0.2.151:9120
黑龙江卫视,http://118.79.7.85:7000/rtp/226.0.2.48:8296
安徽卫视,http://171.124.100.84:8084/rtp/226.0.2.145:9072
安徽卫视,http://171.124.100.84:8084/rtp/226.0.2.37:8208
安徽卫视,http://118.79.7.85:7000/rtp/226.0.2.145:9072
安徽卫视,http://118.79.7.85:7000/rtp/226.0.2.37:8208
山西卫视,http://171.124.100.84:8084/rtp/226.0.2.152:9128
山西卫视,http://171.124.100.84:8084/rtp/226.0.2.11:8000
山西卫视,http://171.124.100.84:8084/rtp/226.0.2.189:9424
山西卫视,http://118.79.7.85:7000/rtp/226.0.2.152:9128
山西卫视,http://118.79.7.85:7000/rtp/226.0.2.11:8000
江西卫视,http://171.124.100.84:8084/rtp/226.0.2.54:8344
江西卫视,http://171.124.100.84:8084/rtp/226.0.2.198:9496
江西卫视,http://118.79.7.85:7000/rtp/226.0.2.54:8344
江西卫视,http://118.79.7.85:7000/rtp/226.0.2.198:9496
湖北卫视,http://171.124.100.84:8084/rtp/226.0.2.150:9112
湖北卫视,http://171.124.100.84:8084/rtp/226.0.2.49:8304
湖北卫视,http://118.79.7.85:7000/rtp/226.0.2.150:9112
湖北卫视,http://118.79.7.85:7000/rtp/226.0.2.49:8304
旅游卫视,http://171.124.100.84:8084/rtp/226.0.2.212:9608
旅游卫视,http://171.124.100.84:8084/rtp/226.0.2.61:8400
旅游卫视,http://118.79.7.85:7000/rtp/226.0.2.212:9608
旅游卫视,http://118.79.7.85:7000/rtp/226.0.2.61:8400
东南卫视,http://171.124.100.84:8084/rtp/226.0.2.188:9416
东南卫视,http://171.124.100.84:8084/rtp/226.0.2.40:8232
东南卫视,http://118.79.7.85:7000/rtp/226.0.2.188:9416
东南卫视,http://118.79.7.85:7000/rtp/226.0.2.40:8232
吉林卫视,http://171.124.100.84:8084/rtp/226.0.2.58:8376
吉林卫视,http://171.124.100.84:8084/rtp/226.0.2.199:9504
吉林卫视,http://118.79.7.85:7000/rtp/226.0.2.58:8376
吉林卫视,http://118.79.7.85:7000/rtp/226.0.2.199:9504
辽宁卫视,http://171.124.100.84:8084/rtp/226.0.2.173:9296
辽宁卫视,http://171.124.100.84:8084/rtp/226.0.2.35:8192
辽宁卫视,http://118.79.7.85:7000/rtp/226.0.2.173:9296
辽宁卫视,http://118.79.7.85:7000/rtp/226.0.2.35:8192
湖南卫视,http://171.124.100.84:8084/rtp/226.0.2.143:9056
