内蒙古组播,#genre#
杭锦旗 HD,http://1.30.47.10:7000/rtp/239.125.2.212:4120
鄂尔多斯新闻 HD,http://116.114.141.15:8686/rtp/239.125.2.165:4154
鄂尔多斯新闻 HD,http://1.30.47.10:7000/rtp/239.125.2.165:4154
鄂尔多斯经济 HD,http://116.114.141.15:8686/rtp/239.125.2.164:4153
鄂尔多斯经济 HD,http://1.30.47.10:7000/rtp/239.125.2.164:4153
鄂尔多斯蒙语 HD,http://116.114.141.15:8686/rtp/239.125.2.162:4151
鄂尔多斯蒙语 HD,http://1.30.47.10:7000/rtp/239.125.2.162:4151
CETV1 SD,http://116.114.141.15:8686/rtp/239.125.1.139:4130
CETV1 SD,http://1.30.47.10:7000/rtp/239.125.1.139:4130
CETV2 SD,http://116.114.141.15:8686/rtp/239.125.1.29:5000
CETV2 SD,http://1.30.47.10:7000/rtp/239.125.1.29:5000
CGTN SD,http://116.114.141.15:8686/rtp/239.125.1.140:4130
CGTN SD,http://1.30.47.10:7000/rtp/239.125.1.140:4130
重庆卫视 SD,http://116.114.141.15:8686/rtp/239.125.1.168:4130
重庆卫视 SD,http://1.30.47.10:7000/rtp/239.125.1.168:4130
陕西卫视,http://116.114.141.15:8686/rtp/239.125.1.155:4130
陕西卫视,http://1.30.47.10:7000/rtp/239.125.1.155:4130
内蒙古卫视,http://116.114.141.15:8686/rtp/239.125.2.194:4120
内蒙古卫视,http://1.30.47.10:7000/rtp/239.125.2.194:4120
青海卫视,http://116.114.141.15:8686/rtp/239.125.1.150:4130
青海卫视,http://1.30.47.10:7000/rtp/239.125.1.150:4130
三沙卫视 SD,http://116.114.141.15:8686/rtp/239.125.1.180:4130
三沙卫视 SD,http://1.30.47.10:7000/rtp/239.125.1.180:4130
金鹰卡通,http://116.114.141.15:8686/rtp/239.125.1.128:4130
金鹰卡通,http://1.30.47.10:7000/rtp/239.125.1.128:4130
嘉佳卡通 SD,http://116.114.141.15:8686/rtp/239.125.2.213:4120
嘉佳卡通 SD,http://1.30.47.10:7000/rtp/239.125.2.213:4120
央广购物 SD,http://116.114.141.15:8686/rtp/239.125.2.14:4120
央广购物 SD,http://1.30.47.10:7000/rtp/239.125.2.14:4120
优购物 SD,http://116.114.141.15:8686/rtp/239.125.1.220:4120
优购物 SD,http://116.114.141.15:8686/rtp/239.125.1.138:4130
优购物 SD,http://1.30.47.10:7000/rtp/239.125.1.220:4120
优购物 SD,http://1.30.47.10:7000/rtp/239.125.1.138:4130
家有购物 SD,http://116.114.141.15:8686/rtp/239.125.1.217:4120
家有购物 SD,http://116.114.141.15:8686/rtp/239.125.1.137:4130
家有购物 SD,http://1.30.47.10:7000/rtp/239.125.1.217:4120
家有购物 SD,http://1.30.47.10:7000/rtp/239.125.1.137:4130
时尚购物 SD,http://116.114.141.15:8686/rtp/234.1.3.187:5000
时尚购物 SD,http://116.114.141.15:8686/rtp/239.125.1.216:4120
时尚购物 SD,http://1.30.47.10:7000/rtp/234.1.3.187:5000
时尚购物 SD,http://1.30.47.10:7000/rtp/239.125.1.216:4120
好享购物 SD,http://116.114.141.15:8686/rtp/239.125.1.219:4120
好享购物 SD,http://116.114.141.15:8686/rtp/239.125.44.2:5000
