安徽组播,#genre#
安庆新闻综合,http://60.169.112.172:8686/rtp/238.1.78.117:6808
安庆公共频道,http://124.112.241.231:4022/rtp/238.1.78.118:6816
安庆公共频道,http://60.169.112.172:8686/rtp/238.1.78.118:6816
安庆教育频道,http://124.112.241.231:4022/rtp/238.1.78.120:6832
安庆教育频道,http://60.169.112.172:8686/rtp/238.1.78.120:6832
潜山综合频道,http://124.112.241.231:4022/rtp/238.1.78.192:7408
潜山综合频道,http://60.169.112.172:8686/rtp/238.1.78.192:7408
桐城综合频道,http://124.112.241.231:4022/rtp/238.1.78.28:6152
桐城综合频道,http://60.169.112.172:8686/rtp/238.1.78.28:6152
太湖新闻综合,http://124.112.241.231:4022/rtp/238.1.79.12:4208
太湖新闻综合,http://60.169.112.172:8686/rtp/238.1.79.12:4208
黄山新闻综合,http://124.112.241.231:4022/rtp/238.1.78.130:6912
黄山新闻综合,http://60.169.112.172:8686/rtp/238.1.78.130:6912
黄山公共频道,http://124.112.241.231:4022/rtp/238.1.78.131:6920
黄山公共频道,http://60.169.112.172:8686/rtp/238.1.78.131:6920
徽州新闻频道,http://124.112.241.231:4022/rtp/238.1.78.138:6976
徽州新闻频道,http://60.169.112.172:8686/rtp/238.1.78.138:6976
太平电视台,http://124.112.241.231:4022/rtp/238.1.78.199:7464
太平电视台,http://60.169.112.172:8686/rtp/238.1.78.199:7464
歙县综合频道,http://124.112.241.231:4022/rtp/238.1.78.200:7472
歙县综合频道,http://60.169.112.172:8686/rtp/238.1.78.200:7472
休宁新闻综合,http://124.112.241.231:4022/rtp/238.1.79.20:4272
休宁新闻综合,http://60.169.112.172:8686/rtp/238.1.79.20:4272
祁门综合频道,http://124.112.241.231:4022/rtp/238.1.79.14:4224
祁门综合频道,http://60.169.112.172:8686/rtp/238.1.79.14:4224
黟县新闻综合,http://124.112.241.231:4022/rtp/238.1.78.149:7064
黟县新闻综合,http://60.169.112.172:8686/rtp/238.1.78.149:7064
宣城综合频道,http://124.112.241.231:4022/rtp/238.1.78.142:7008
宣城综合频道,http://60.169.112.172:8686/rtp/238.1.78.142:7008
宣城公共频道,http://124.112.241.231:4022/rtp/238.1.78.143:7016
宣城公共频道,http://60.169.112.172:8686/rtp/238.1.78.143:7016
广德新闻综合,http://124.112.241.231:4022/rtp/238.1.78.212:7568
广德新闻综合,http://60.169.112.172:8686/rtp/238.1.78.212:7568
广德生活频道,http://124.112.241.231:4022/rtp/238.1.78.213:7576
广德生活频道,http://60.169.112.172:8686/rtp/238.1.78.213:7576
郎溪新闻频道,http://124.112.241.231:4022/rtp/238.1.78.214:7584
郎溪新闻频道,http://60.169.112.172:8686/rtp/238.1.78.214:7584
旌德新闻综合,http://124.112.241.231:4022/rtp/238.1.78.215:7592
旌德新闻综合,http://60.169.112.172:8686/rtp/238.1.78.215:7592
宁国新闻综合,http://124.112.241.231:4022/rtp/238.1.78.216:7600
宁国新闻综合,http://60.169.112.172:8686/rtp/238.1.78.216:7600
绩溪新闻频道,http://124.112.241.231:4022/rtp/238.1.78.218:7616
绩溪新闻频道,http://60.169.112.172:8686/rtp/238.1.78.218:7616
池州新闻综合,http://124.112.241.231:4022/rtp/238.1.78.147:7048
池州新闻综合,http://60.169.112.172:8686/rtp/238.1.78.147:7048
池州公共频道,http://124.112.241.231:4022/rtp/238.1.78.148:7056
池州公共频道,http://60.169.112.172:8686/rtp/238.1.78.148:7056
石台综合频道,http://124.112.241.231:4022/rtp/238.1.78.221:7640
石台综合频道,http://60.169.112.172:8686/rtp/238.1.78.221:7640
东至综合频道,http://124.112.241.231:4022/rtp/238.1.79.13:4216
东至综合频道,http://60.169.112.172:8686/rtp/238.1.79.13:4216
铜陵新闻综合,http://124.112.241.231:4022/rtp/238.1.78.139:6984
铜陵新闻综合,http://60.169.112.172:8686/rtp/238.1.78.139:6984
铜陵公共频道,http://124.112.241.231:4022/rtp/238.1.78.140:6992
铜陵公共频道,http://60.169.112.172:8686/rtp/238.1.78.140:6992
铜陵科教频道,http://124.112.241.231:4022/rtp/238.1.78.141:7000
铜陵科教频道,http://60.169.112.172:8686/rtp/238.1.78.141:7000
义安新闻综合,http://124.112.241.231:4022/rtp/238.1.78.211:7560
义安新闻综合,http://60.169.112.172:8686/rtp/238.1.78.211:7560
枞阳电视台,http://124.112.241.231:4022/rtp/238.1.78.210:7552
枞阳电视台,http://60.169.112.172:8686/rtp/238.1.78.210:7552
六安综合频道,http://124.112.241.231:4022/rtp/238.1.78.144:7024
六安综合频道,http://60.169.112.172:8686/rtp/238.1.78.144:7024
六安公共频道,http://124.112.241.231:4022/rtp/238.1.78.145:7032
六安公共频道,http://60.169.112.172:8686/rtp/238.1.78.145:7032
霍山综合频道,http://124.112.241.231:4022/rtp/238.1.78.220:7632
霍山综合频道,http://60.169.112.172:8686/rtp/238.1.78.220:7632
霍邱新闻综合,http://124.112.241.231:4022/rtp/238.1.78.119:6824
